"Name","Aliases","Disc. Date","Max Date","Mmax","R.A.","Dec.","z","Type","E(B-V)","References"
"PTF10nmn","PTF10nmn","2010/03/12","2010/07/07","-20.234","15:50:02.809","-07:24:42.38","0.1237","SLSN-I-R","0.1337","2017arXiv170801623D,2016ApJ...830...13P,2012PASP..124..668Y,2016A&A...594A..13P,2011ApJ...737..103S"
"PTF12dam","PTF12dam","2012/04/10","2012/06/12","-22.778","14:24:46.20,14:24:46.228","+46:13:48.3,+46:13:48.64","0.1073,0.1078","SLSN-I","0.0107","2013Natur.502..346N,2012PASP..124..668Y,2014Ap&SS.354...89B,2016ApJ...830...13P,2012ATel.4121....1Q"
"SN2016eay","SN2016eay, AT2016eay, Gaia16apd","2016/05/16","2016/05/21","-23.11","12:02:51.71,12:02:51.70,12:02:51.706,12:02:51.6","+44:15:27.4,+44:15:27.40,+44:15:27.36","0.1013","SLSN-I","0.0132","2017ApJ...835L...8N,2016arXiv161110207K,2014Ap&SS.354...89B,2017ApJ...840...57Y,2016A&A...594A..13P"
"PS1-11ap","PS1-11ap","2010/12/31","","-21.77","10:48:27.73,10:48:27.6,10:48:27.752","+57:09:09.2,+57:09:09.36,+57:09:09.32","0.524,0.524","SLSN-I","0.0059","2014MNRAS.437..656M,2017arXiv170801619L,2015MNRAS.448.1206M,2016A&A...594A..13P,2013ApJ...778..168K"
"SN2010gx","SN2010gx, CSS100313:112547-084941, PS1-1000037, PTF10cwr","2010/03/13","2010/03/21","-22.517","11:25:46.71,11:25:46.73","-08:49:41.4,-08:49:41.41,-08:49:41.9","0.2297","SLSN-I","0.0333","2010ApJ...724L..16P,2012PASP..124..668Y,2017arXiv170801623D,2011Natur.474..484Q,2014Ap&SS.354...89B"
"PTF09cnd","PTF09cnd","2009/08/07","2009/09/10","-23.322","16:12:08.94,16:12:08.96,16:12:08.839","+51:29:16.1,+51:29:16.0,+51:29:16.01","0.2584","SLSN-I","0.0207","2017arXiv170801623D,2011Natur.474..484Q,2014Ap&SS.354...89B,2012PASP..124..668Y,2016ApJ...830...13P"
"SN2011kg","SN2011kg, PTF11rks","2011/12/21","2012/01/11","-21.35","01:39:45.51,01:39:45.50,01:39:45.528","+29:55:27.0,+29:55:27.01,+29:55:27.43","0.1924","SLSN-I","0.0371","2013ApJ...770..128I,2017arXiv170801623D,2012PASP..124..668Y,2014Ap&SS.354...89B,2016ApJ...830...13P"
"SN2011ke","SN2011ke, CSS110406:135058+261642, PS1-11xk, PTF11dij","2011/04/06","2011/04/28","-21.554","13:50:57.77,13:50:57.79,13:50:57.798","+26:16:42.8,+26:16:42.2,+26:16:42.20,+26:16:42.44","0.1428","SLSN-I","0.0102","2013ApJ...770..128I,2012PASP..124..668Y,2017arXiv170801623D,2014Ap&SS.354...89B,2016ApJ...830...13P"
"iPTF15esb","iPTF15esb","2015/12/01","2016/01/07","-20.77","07:58:50.64","+66:07:40.8","0.224","SLSN-I","0.0414","2017arXiv170405061Y,2016A&A...594A..13P,2012PASP..124..668Y,2011ApJ...737..103S"
"CSS130912:025702-001844","CSS130912:025702-001844, iPTF13dcc","2013/09/12","2013/11/12","-22.21","02:57:02.49","-00:18:44.1","0.431","SLSN-I","0.0578","2017ApJ...835...58V,2016A&A...594A..13P,2012PASP..124..668Y,2011ApJ...737..103S"
"SN2010md","SN2010md, PSO J249.4461+06.2081, PTF10hgi","2010/05/15","2010/06/20","-20.39","16:37:47.00,16:37:47.04,16:37:47.074","+06:12:32.3,+06:12:32.29,+06:12:31.83","0.0987,0.0985","SLSN-I","0.0728","2013ApJ...770..128I,2017arXiv170801623D,2012PASP..124..668Y,2016ApJ...830...13P,2014Ap&SS.354...89B"
"SN2017egm","SN2017egm, Gaia17biu, AT2017egm, SN2017egm, AT2017egm, AT2017egm, SN2017egm, AT2017egm, AT2017egm, AT2017egm, SN2017egm, AT2017egm, AT2017egm, AT2017egm, AT2017egm","2017/05/23","2017/06/18","-22.2843","10:19:05.620,10:19:05.62,10:19:05.52","+46:27:14.08,+46:27:14.04","0.030721,0.030721","SLSN-I","0.0097","2017arXiv170608517N,2017ATel10498....1D,2016A&A...594A..13P,2011ApJ...737..103S"
